Log created: 2025-12-01 19:03:28
Type: backup
[2025-12-01 19:03:34][notice]Preparing to dump table wp_wfacp_stats
[2025-12-01 19:03:34][notice]Preparing to dump table wp_users
[2025-12-01 19:03:34][notice]Preparing to dump table wp_yoast_indexable_hierarchy
[2025-12-01 19:03:34][notice]Preparing to dump table wp_commentmeta
[2025-12-01 19:03:34][notice]Preparing to dump table wp_litespeed_avatar
[2025-12-01 19:03:34][notice]Preparing to dump table wp_mailpoet_scheduled_tasks
[2025-12-01 19:03:34][notice]Preparing to dump table wp_mailpoet_subscriber_segment
[2025-12-01 19:03:34][notice]Preparing to dump table wp_litespeed_crawler
[2025-12-01 19:03:34][notice]Preparing to dump table wp_duplicator_pro_packages
[2025-12-01 19:03:34][notice]Preparing to dump table wp_wc_product_meta_lookup
[2025-12-01 19:03:35][notice]Preparing to dump table wp_cerber_sets
[2025-12-01 19:03:35][notice]Preparing to dump table wp_pys_stat_product_order
[2025-12-01 19:03:35][notice]Preparing to dump table wp_yoast_seo_meta
[2025-12-01 19:03:35][notice]Preparing to dump table wp_wc_customer_lookup
[2025-12-01 19:03:35][notice]Preparing to dump table wp_wc_order_stats
[2025-12-01 19:03:35][notice]Preparing to dump table wp_actionscheduler_actions
[2025-12-01 19:03:35][notice]Preparing to dump table wp_bwf_contact
[2025-12-01 19:03:35][notice]Preparing to dump table wp_mailpoet_newsletter_templates
[2025-12-01 19:03:35][notice]Preparing to dump table wp_term_relationships
[2025-12-01 19:03:35][notice]Preparing to dump table wp_shortpixel_queue
[2025-12-01 19:03:35][notice]Preparing to dump table wp_mailpoet_subscribers
[2025-12-01 19:03:36][notice]Preparing to dump table wp_woocommerce_order_items
[2025-12-01 19:03:36][notice]Preparing to dump table wp_cartflows_ca_cart_abandonment
[2025-12-01 19:03:36][notice]Preparing to dump table wp_yoast_indexable
[2025-12-01 19:03:36][notice]Preparing to dump table wp_termmeta
[2025-12-01 19:03:36][notice]Preparing to dump table wp_ml_import_table
[2025-12-01 19:03:36][notice]Preparing to dump table wp_wc_order_product_lookup
[2025-12-01 19:03:37][notice]Preparing to dump table wp_woocommerce_sessions
[2025-12-01 19:03:37][notice]Preparing to dump table wp_options
[2025-12-01 19:03:37][notice]Preparing to dump table wp_woocommerce_order_itemmeta
[2025-12-01 19:03:40][notice]Preparing to dump table wp_comments
[2025-12-01 19:03:41][notice]Preparing to dump table wp_usermeta
[2025-12-01 19:03:43][notice]Preparing to dump table wp_posts
[2025-12-01 19:03:44][notice]Preparing to dump table wp_actionscheduler_logs
[2025-12-01 19:04:00][notice]Preparing to dump table wp_mailpoet_scheduled_task_subscribers
[2025-12-01 19:05:33][notice]Preparing to dump table wp_cerber_files
[2025-12-01 19:05:59][notice]Preparing to dump table wp_postmeta
[2025-12-01 19:06:27][notice]Exporting database finished.
[2025-12-01 19:06:27][notice]Start compressing database
[2025-12-01 19:06:27][notice]Prepare to zip file. file: grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03.part001.sql
[2025-12-01 19:06:34][notice]Adding zip files completed.grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_db.part001.zip, filesize: 18,61 MB
[2025-12-01 19:06:34][notice]Prepare to zip file. file: grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03.part002.sql
[2025-12-01 19:06:39][notice]Adding zip files completed.grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_db.part001.zip, filesize: 28,69 MB
[2025-12-01 19:06:39][notice]Prepare to zip file. file: grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03.part003.sql
[2025-12-01 19:06:48][notice]Adding zip files completed.grupodos.com.uy_wpvivid-07049f92fe31a_2025-12-01-19-03_backup_db.part001.zip, filesize: 76,02 MB
